Gene_acc,Gene_id,DD8_1,DD8_2,DD8_3,HCZ_1,HCZ_2,HCZ_3,Desc,pg_index
0,LdBPK_190040,3038000.0,2919100.0,2494900.0,2639600.0,2132700.0,1590500.0,histone H2B,0
1,LdBPK_211170,1754400.0,1825700.0,1553900.0,1549600.0,1221800.0,1332000.0,"histone H2A, putative",1
2,LdBPK_191480,13173.0,7010.0,7974.3,16487.0,16654.0,16147.0,mitogen-activated protein kinase 4,2
3,LdBPK_170170,3689800.0,3079700.0,3914500.0,5295700.0,5139300.0,4656900.0,elongation factor 1-alpha,3
4,LdBPK_210020,2534300.0,2331200.0,2116300.0,3081000.0,2346200.0,1851700.0,histone H4,4
5,LdBPK_150010,2534300.0,2331200.0,2116300.0,3081000.0,2346200.0,1851700.0,histone H4,4
6,LdBPK_120490,280550.0,250000.0,268880.0,491990.0,379590.0,343910.0,glucose-6-phosphate isomerase,5
7,LdBPK_130330,8761800.0,7236700.0,8085400.0,8264700.0,7734700.0,6740300.0,alpha tubulin,9
8,LdBPK_131120,447120.0,500370.0,508940.0,626810.0,505850.0,448200.0,"40S ribosomal protein S4, putative",10
9,LdBPK_120661,4745.1,2107.7,4222.4,39516.0,44584.0,49102.0,"hypothetical protein, conserved",11
10,LdBPK_160450,4893.8,4549.0,4204.9,5928.0,6861.6,6167.5,"fucose kinase, putative",13
11,LdBPK_161510,673070.0,617690.0,619560.0,1198800.0,1217200.0,577460.0,paraflagellar rod protein 2C,15
12,LdBPK_220650,25947.0,20232.0,20463.0,33550.0,32587.0,36229.0,"hypothetical protein, conserved",16
13,LdBPK_270220,3463.0,2152.3,1486.3,5752.5,6033.7,4882.6,"hypothetical protein, conserved",17
14,LdBPK_270230,20612.0,16929.0,16005.0,22791.0,22666.0,25227.0,"hypothetical protein, conserved",18
15,LdBPK_271350,27143.0,26029.0,20365.0,59509.0,37873.0,37719.0,"Snf7, putative",20
16,LdBPK_271490,2163.0,3244.3,2903.3,3960.4,2985.6,4851.0,"hypothetical protein, conserved",21
17,LdBPK_020670,11907.0,10178.0,10730.0,11788.0,11674.0,6961.3,"hypothetical protein, conserved",22
